player_name,player_id,total_four
"Harbhajan Singh",50,43
"RG Sharma",57,43
"AB de Villiers",110,43
"Iqbal Abdulla",140,43
"CH Gayle",162,43
"SL Malinga",194,43
"AT Rayudu",208,43
"KA Pollard",221,43
"AN Ahmed",246,43
"UBT Chand",262,43
"VR Aaron",296,43
"JJ Bumrah",375,43
"RR Rossouw",380,43
"YS Chahal",382,43
"LMP Simmons",383,43
"HH Pandya",400,43
"D Wiese",401,43
"MJ McClenaghan",403,43
"V Kohli",8,43
"BW Hilfenhaus",451,43
"AR Patel",374,43
"Sandeep Sharma",367,43
"MM Sharma",364,43
"IC Pandey",359,43
"MG Johnson",357,43
"R Dhawan",356,43
"DA Miller",320,43
"GJ Maxwell",305,43
"F du Plessis",303,43
"Mandeep Singh",236,43
"R Ashwin",201,43
"GJ Bailey",197,43
"M Manhas",171,43
"DR Smith",147,43
"M Kartik",83,43
"V Sehwag",41,43
"RA Jadeja",35,43
"SK Raina",21,43
"MS Dhoni",20,43
"BB McCullum",2,43
"TG Southee",377,43
"BA Bhatt",302,43
"S Randiv",278,43
"Sunny Singh",264,43
"R McLaren",210,43
"R Ashwin",201,43
"RJ Harris",188,43
"SB Jakati",186,43
"M Vijay",185,43
"PC Valthaty",167,43
"JA Morkel",109,43
"SE Marsh",100,43
"PP Chawla",67,43
"P Amarnath",435,43
"VS Yeligati",150,43
"M Muralitharan",121,43
"MS Gony",120,43
"Joginder Sharma",119,43
"DS Kulkarni",80,43
"A Nehra",73,43
"MA Khote",72,43
"DJ Bravo",71,43
"Harbhajan Singh",50,43
"SM Pollock",49,43
"AM Nayar",48,43
"RV Uthappa",46,43
"ST Jayasuriya",44,43
"S Badrinath",23,43
"JDP Oram",22,43
"SK Raina",21,43
"MS Dhoni",20,43
"MEK Hussey",19,43
"ML Hayden",18,43
"SB Styris",58,43
"AC Gilchrist",53,43
"AM Nayar",48,43
"S Badrinath",23,43
"SK Raina",21,43
"MS Dhoni",20,43
"P Kumar",14,43
"UT Yadav",232,42
"PP Ojha",131,42
"MM Patel",126,42
"D Kalyankrishna",99,42
"Pankaj Singh",75,42
"GC Smith",74,42
"Shahid Afridi",70,42
"RP Singh",61,42
"WPUJC Vaas",60,42
"SB Bangar",59,42
"RG Sharma",57,42
"A Symonds",56,42
"VVS Laxman",55,42
"AC Gilchrist",53,42
"SK Trivedi",39,42
"SK Warne",38,42
"D Salunkhe",37,42
"RA Jadeja",35,42
"M Kaif",33,42
"SR Watson",32,42
"YK Pathan",31,42
"P Amarnath",435,42
"L Balaji",151,42
"CK Kapugedera",127,42
"M Muralitharan",121,42
"MS Gony",120,42
"GD McGrath",118,42
"Mohammad Asif",117,42
"PJ Sangwan",116,42
"AB de Villiers",110,42
"JA Morkel",109,42
"S Vidyut",108,42
"VY Mahesh",91,42
"MK Tiwary",87,42
"Shoaib Malik",86,42
"S Dhawan",42,42
"V Sehwag",41,42
"G Gambhir",40,42
"S Badrinath",23,42
"SK Raina",21,42
"MS Dhoni",20,42
"V Kohli",8,42
"IK Pathan",29,42
"V Sehwag",41,42
"DPMD Jayawardene",64,42
"R Vinay Kumar",81,42
"M Kartik",83,42
"AB de Villiers",110,42
"CH Gayle",162,42
"MC Henriques",163,42
"DA Warner",187,42
"M Morkel",190,42
"CA Pujara",203,42
"UT Yadav",232,42
"KM Jadhav",237,42
"UBT Chand",262,42
"J Syed Mohammad",283,42
"S Nadeem",293,42
"JD Unadkat",346,42
"R Rampaul",349,42
"S Kaul",368,42
"V Kohli",8,41
"Z Khan",15,41
"SR Watson",32,41
"AB de Villiers",110,41
"A Mishra",136,41
"JP Duminy",154,41
"CH Gayle",162,41
"KM Jadhav",237,41
"S Aravind",270,41
"HV Patel",311,41
"P Negi",322,41
"KK Nair",339,41
"Mohammed Shami",347,41
"CH Morris",350,41
"Parvez Rasool",366,41
"BB McCullum",2,41
"P Kumar",14,41
"SK Raina",21,41
"RA Jadeja",35,41
"Harbhajan Singh",50,41
"RG Sharma",57,41
"DJ Bravo",71,41
"DS Kulkarni",80,41
"R Vinay Kumar",81,41
"DR Smith",147,41
"SB Jakati",186,41
"KA Pollard",221,41
"AJ Finch",254,41
"JJ Bumrah",375,41
"HH Pandya",400,41
"MJ McClenaghan",403,41
"KH Pandya",413,41
"MJ Guptill",415,41
"N Rana",431,41
"YS Chahal",382,41
"SS Iyer",393,41
"D Wiese",401,41
"SN Khan",402,41
"CR Brathwaite",408,41
"BB Sran",429,41
"DJ Hooda",394,41
"CH Morris",350,41
"KK Nair",339,41
"AD Russell",334,41
"Azhar Mahmood",321,41
"JP Faulkner",310,41
"SA Yadav",308,41
"SPD Smith",306,41
"Shakib Al Hasan",276,41
"STR Binny",255,41
"UT Yadav",232,41
"M Morkel",190,41
"MK Pandey",96,41
"AM Rahane",85,41
"DS Kulkarni",80,41
"PP Chawla",67,41
"RV Uthappa",46,41
"G Gambhir",40,41
"SR Watson",32,41
"YK Pathan",31,41
"BB McCullum",2,41
"MS Dhoni",20,41
"SK Raina",21,41
"RA Jadeja",35,41
"V Sehwag",41,41
"DJ Bravo",71,41
"A Nehra",73,41
"DR Smith",147,41
"L Balaji",151,41
"GJ Bailey",197,41
"R Ashwin",201,41
"CA Pujara",203,41
"F du Plessis",303,41
"GJ Maxwell",305,41
"DA Miller",320,41
"P Negi",322,41
"P Awana",333,41
"R Dhawan",356,41
"MG Johnson",357,41
"MM Sharma",364,41
"AR Patel",374,41
"MJ McClenaghan",403,41
"SN Khan",402,41
"D Wiese",401,41
"HH Pandya",400,41
"J Suchith",398,41
"LMP Simmons",383,41
"YS Chahal",382,41
"MA Starc",378,41
"JJ Bumrah",375,41
"HV Patel",311,41
"S Aravind",270,41
"Mandeep Singh",236,41
"KA Pollard",221,41
"AT Rayudu",208,41
"SL Malinga",194,41
"CH Gayle",162,41
"AB de Villiers",110,41
"RG Sharma",57,41
"Harbhajan Singh",50,41
"V Kohli",8,41
"K Goel",24,41
"S Badrinath",23,41
"SK Raina",21,41
"MS Dhoni",20,41
"ML Hayden",18,41
"Z Khan",15,41
"YK Pathan",31,41
"SK Warne",38,41
"ST Jayasuriya",44,41
"Harbhajan Singh",50,41
"GC Smith",74,41
"SA Asnodkar",101,41
"DJ Hussey",4,41
"P Kumar",14,41
"JR Hopes",25,41
"IK Pathan",29,41
"V Sehwag",41,41
"AM Nayar",48,41
"AC Gilchrist",53,41
"Y Venugopal Rao",54,41
"PP Chawla",67,41
"AB Agarkar",82,41
"SE Marsh",100,41
"PC Valthaty",167,41
"DA Warner",187,41
