player_name,player_id,total_six
"AA Jhunjhunwala",211,30
"S Tyagi",218,30
"MJ Lumb",224,30
"S Narwal",226,30
"FY Fazal",229,30
"SW Tait",238,30
"DE Bollinger",248,30
"SB Wagh",273,30
"M Vijay",185,30
"AS Raut",169,30
"M Muralitharan",121,30
"JA Morkel",109,30
"SK Warne",38,30
"SR Watson",32,30
"YK Pathan",31,30
"S Badrinath",23,30
"SK Raina",21,30
"MS Dhoni",20,30
"ML Hayden",18,30
"SB Jakati",186,30
"P Amarnath",435,25
"M Muralitharan",121,25
"MS Gony",120,25
"Joginder Sharma",119,25
"S Sreesanth",77,25
"WA Mota",68,25
"PP Chawla",67,25
"B Lee",66,25
"IK Pathan",29,25
"SM Katich",28,25
"Yuvraj Singh",27,25
"KC Sangakkara",26,25
"JR Hopes",25,25
"K Goel",24,25
"S Badrinath",23,25
"JDP Oram",22,25
"SK Raina",21,25
"MS Dhoni",20,25
"MEK Hussey",19,25
"ML Hayden",18,25
"Shivam Sharma",381,24
"AR Patel",374,24
"Sandeep Sharma",367,24
"MG Johnson",357,24
"R Dhawan",356,24
"IC Pandey",359,24
"LJ Wright",358,24
"R Rampaul",349,24
"JD Unadkat",346,24
"SPD Smith",306,24
"B Kumar",299,24
"AG Murtaza",286,24
"AJ Finch",254,24
"MR Marsh",253,24
"KB Arun Karthik",239,24
"M Manhas",171,24
"CH Gayle",162,24
"TM Dilshan",135,24
"AB de Villiers",110,24
"AB Dinda",106,24
"M Kartik",83,24
"R Vinay Kumar",81,24
"RP Singh",61,24
"RV Uthappa",46,24
"Yuvraj Singh",27,24
"V Kohli",8,24
"A Mishra",136,24
"DW Steyn",94,24
"S Dhawan",42,24
"V Sehwag",41,24
"IK Pathan",29,24
"MC Henriques",163,24
"KV Sharma",166,24
"DA Warner",187,24
"GJ Bailey",197,24
"AJ Finch",254,24
"B Kumar",299,24
"GJ Maxwell",305,24
"DA Miller",320,24
"M Vohra",345,24
"V Kohli",8,23
"SR Watson",32,23
"S Dhawan",42,23
"A Nehra",73,23
"AB de Villiers",110,23
"CH Gayle",162,23
"MC Henriques",163,23
"KV Sharma",166,23
"DA Warner",187,23
"EJG Morgan",216,23
"KM Jadhav",237,23
"STR Binny",255,23
"B Kumar",299,23
"HV Patel",311,23
"A Ashish Reddy",325,23
"Parvez Rasool",366,23
"YS Chahal",382,23
"DJ Hooda",394,23
"SN Khan",402,23
"Mustafizur Rahman",460,23
"AF Milne",461,23
"V Kohli",8,23
"Yuvraj Singh",27,23
"SR Watson",32,23
"S Dhawan",42,23
"AB de Villiers",110,23
"Iqbal Abdulla",140,23
"Karanveer Singh",392,23
"CH Gayle",162,23
"MC Henriques",163,23
"DA Warner",187,23
"Bipul Sharma",228,23
"STR Binny",255,23
"S Aravind",270,23
"B Kumar",299,23
"Sachin Baby",369,23
"YS Chahal",382,23
"BCJ Cutting",385,23
"DJ Hooda",394,23
"BB Sran",429,23
"CJ Jordan",434,23
"Mustafizur Rahman",460,23
"AR Patel",374,23
"Sandeep Sharma",367,23
"MM Sharma",364,23
"IC Pandey",359,23
"MG Johnson",357,23
"M Vohra",345,23
"P Awana",333,23
"DA Miller",320,23
"GJ Maxwell",305,23
"F du Plessis",303,23
"R Ashwin",201,23
"GJ Bailey",197,23
"DR Smith",147,23
"A Nehra",73,23
"V Sehwag",41,23
"RA Jadeja",35,23
"SK Raina",21,23
"MS Dhoni",20,23
"DJ Hussey",4,23
"BB McCullum",2,23
"UT Yadav",232,23
"PP Ojha",131,23
"MM Patel",126,23
"D Kalyankrishna",99,23
"Pankaj Singh",75,23
"GC Smith",74,23
"Shahid Afridi",70,23
"RP Singh",61,23
"WPUJC Vaas",60,23
"SB Bangar",59,23
"RG Sharma",57,23
"A Symonds",56,23
"VVS Laxman",55,23
"AC Gilchrist",53,23
"SK Trivedi",39,23
"SK Warne",38,23
"D Salunkhe",37,23
"RA Jadeja",35,23
"M Kaif",33,23
"SR Watson",32,23
"YK Pathan",31,23
"V Kohli",8,23
"Z Khan",15,23
"MS Dhoni",20,23
"SK Raina",21,23
"S Badrinath",23,23
"RA Jadeja",35,23
"DJ Bravo",71,23
"R Vinay Kumar",81,23
"JA Morkel",109,23
