Player_Name,player_id,tot
"SK Raina",21,43101
"MS Dhoni",20,41667
"RG Sharma",57,41431
"V Kohli",8,40563
"RV Uthappa",46,38081
"YK Pathan",31,37648
"G Gambhir",40,36963
"Harbhajan Singh",50,36428
"PP Chawla",67,35913
"RA Jadeja",35,35809
"AB de Villiers",110,35348
"S Dhawan",42,32726
"P Kumar",14,32403
"R Ashwin",201,31953
"AT Rayudu",208,31838
"A Mishra",136,31759
"KA Pollard",221,31232
"Yuvraj Singh",27,30869
"DJ Bravo",71,30284
"V Sehwag",41,30282
"R Vinay Kumar",81,29636
"M Vijay",185,29325
"IK Pathan",29,28959
"DA Warner",187,28868
"SL Malinga",194,28189
